                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6976,                 1.1575,                0.39274,                0.80935,                0.85589,                 0.8475,                0.93259,                0.79914,                0.85182,                 0.8375,                0.91888,                0.57116,                    nan,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     37,                0.69522,                 1.1526,                0.39697,                0.81103,                0.91572,                0.85563,                0.94482,                0.80274,                0.90951,                 0.8475,                0.93302,                0.59316,                    nan,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     38,                0.69917,                 1.1512,                0.39548,                0.81174,                0.86324,                0.86003,                0.92781,                 0.7898,                0.86427,                0.85165,                0.91256,                0.57239,                    nan,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
                     39,                0.71079,                 1.1416,                0.40467,                0.80676,                0.91891,                 0.8925,                0.95267,                0.81088,                0.90981,                0.88273,                0.93722,                0.59624,                    nan,                    nan,                    nan,                    nan,              0.0012476,              0.0012476,              0.0012476
                     40,                0.70389,                 1.1428,                0.39533,                0.81101,                0.92879,                0.88625,                0.95465,                0.81203,                0.92613,                   0.88,                0.94579,                0.61686,                    nan,                    nan,                    nan,                    nan,              0.0012278,              0.0012278,              0.0012278
                     41,                0.69901,                 1.1808,                0.39161,                0.80992,                0.86724,                 0.8525,                0.92629,                0.79149,                0.86767,                0.84419,                0.91834,                 0.6006,                    nan,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     42,                0.68712,                 1.1088,                0.38312,                0.80732,                0.84954,                  0.865,                0.91839,                0.79063,                0.84496,                0.85875,                0.90974,                0.58831,                    nan,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.6863,                 1.1244,                0.38425,                0.80808,                0.85683,                 0.8525,                0.92655,                0.78661,                0.84795,                 0.8425,                 0.9118,                0.56454,                    nan,                    nan,                    nan,                    nan,              0.0011684,              0.0011684,              0.0011684
                     44,                0.68231,                  1.107,                0.37871,                0.80607,                0.77691,                0.84625,                0.89061,                0.77343,                0.77198,                0.83794,                0.88291,                0.58287,                    nan,                    nan,                    nan,                    nan,              0.0011486,              0.0011486,              0.0011486
                     45,                0.68283,                 1.1175,                0.37927,                0.80516,                0.84414,                   0.85,                0.92852,                 0.8025,                0.84014,                0.84125,                0.92052,                0.59178,                    nan,                    nan,                    nan,                    nan,              0.0011288,              0.0011288,              0.0011288
                     46,                0.68753,                 1.1071,                0.38207,                0.80948,                0.89532,                   0.88,                0.94736,                0.81247,                0.88261,                 0.8675,                0.93048,                0.58101,                    nan,                    nan,                    nan,                    nan,               0.001109,               0.001109,               0.001109
                     47,                0.67402,                 1.1316,                0.37989,                0.80673,                0.78907,                  0.865,                0.89455,                0.77612,                0.78541,                 0.8575,                0.88775,                0.57993,                    nan,                    nan,                    nan,                    nan,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.6746,                  1.108,                 0.3735,                0.80572,                 0.7538,                   0.86,                0.87612,                0.74146,                0.74394,                0.84875,                0.85987,                0.52282,                    nan,                    nan,                    nan,                    nan,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68202,                 1.1069,                0.38202,                0.80572,                0.90534,                 0.8675,                0.94603,                 0.8074,                0.89862,                0.85875,                0.93189,                 0.5903,                    nan,                    nan,                    nan,                    nan,              0.0010496,              0.0010496,              0.0010496
                     50,                0.67093,                   1.11,                0.38383,                0.80975,                0.87667,                0.86188,                0.93194,                0.81128,                0.87345,                0.85375,                0.92321,                0.61155,                    nan,                    nan,                    nan,                    nan,              0.0010298,              0.0010298,              0.0010298
                     51,                0.69878,                 1.1419,                0.38613,                0.80676,                0.91874,                 0.8762,                0.95072,                0.81733,                0.91251,                0.86875,                 0.9421,                0.62582,                    nan,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     52,                0.67919,                  1.126,                0.37833,                 0.8063,                0.86299,                  0.865,                0.92807,                0.78933,                0.85676,                0.85875,                0.91614,                0.56986,                    nan,                    nan,                    nan,                    nan,              0.0009902,              0.0009902,              0.0009902
                     53,                 0.6779,                 1.1257,                 0.3751,                0.80538,                0.84669,                 0.8675,                 0.9092,                0.76837,                0.84961,                0.85625,                 0.8946,                0.56728,                    nan,                    nan,                    nan,                    nan,              0.0009704,              0.0009704,              0.0009704
                     54,                0.66601,                 1.1019,                0.36536,                0.80741,                0.74928,                0.84625,                0.87247,                0.75541,                0.75055,                0.84245,                0.86672,                0.54386,                    nan,                    nan,                    nan,                    nan,              0.0009506,              0.0009506,              0.0009506
                     55,                0.67539,                 1.0978,                0.37095,                0.80729,                0.86512,                0.84183,                0.93538,                0.78785,                0.86317,                 0.8375,                0.92659,                0.59371,                    nan,                    nan,                    nan,                    nan,              0.0009308,              0.0009308,              0.0009308
                     56,                0.66322,                 1.0817,                0.37291,                0.80543,                0.86166,                 0.8425,                0.92888,                0.79963,                0.86325,                0.82875,                0.91721,                0.58985,                    nan,                    nan,                    nan,                    nan,               0.000911,               0.000911,               0.000911
                     57,                0.66473,                 1.0928,                0.37356,                0.80503,                0.82444,                0.84532,                0.92563,                0.80045,                0.81957,                0.84032,                 0.9163,                0.61341,                    nan,                    nan,                    nan,                    nan,              0.0008912,              0.0008912,              0.0008912
